LOCATION,Country,INDICATOR,Indicator,SEX,Sex,AGE,Age,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
TUR,Turkey,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,17.712,,
TUR,Turkey,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,12.203,,
TUR,Turkey,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,34.736,,
TUR,Turkey,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,21.157,,
GBR,United Kingdom,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,27.406,,
GBR,United Kingdom,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,50.243,,
GBR,United Kingdom,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.717,,
GBR,United Kingdom,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,46.397,,
USA,United States,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,60.347,,
USA,United States,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,36.959,,
USA,United States,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,66.22,,
USA,United States,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,35.327,,
